Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Were you raised monolingual?,U.s state/territory of birth,Current u.s state of residence,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68817edcc5291d8a5b38d4bf,6131ba00bd67d2702e9a3c8d,AWAITING REVIEW,Not Applicable,2025-07-24T00:31:29.163000Z,2025-07-24T00:54:15.479000Z,,2025-07-24T00:54:15.905362Z,1367.0,C11IH4PS,1442,I was raised with my native language only,New York (NY),New York (NY),27,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68817ee660bb09d464f4b303,5de96ccf7aeafe09d7e8a74a,AWAITING REVIEW,Not Applicable,2025-07-24T00:38:21.505000Z,2025-07-24T00:55:20.028000Z,,2025-07-24T00:55:21.232691Z,1019.0,C11IH4PS,7744,I was raised with my native language only,New York (NY),New York (NY),57,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68817f407a144f6f9a7a604c,66e8cf54518140fd17d32ae0,AWAITING REVIEW,Not Applicable,2025-07-24T00:33:07.899000Z,2025-07-24T00:46:25.045000Z,,2025-07-24T00:46:25.521846Z,798.0,C11IH4PS,145,I was raised with my native language only,New York (NY),New York (NY),50,Female,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68817f5b53455422e1bf7681,62bb6a26ba959335811bad0c,AWAITING REVIEW,Not Applicable,2025-07-24T00:33:38.545000Z,2025-07-24T00:48:35.824000Z,,2025-07-24T00:48:36.392734Z,898.0,C11IH4PS,1680,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),25,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68817f9d84c4d75bc1fc03fc,6695a62c614f900eb86de512,AWAITING REVIEW,Not Applicable,2025-07-24T00:34:42.042000Z,2025-07-24T00:47:18.085000Z,,2025-07-24T00:47:18.498516Z,757.0,C11IH4PS,1301,I was raised with my native language only,New York (NY),Pennsylvania (PA),42,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
688183b70a8885cb42c2bfc3,610c5b3dd64337b3324fa98e,AWAITING REVIEW,Not Applicable,2025-07-24T00:53:05.066000Z,2025-07-24T01:04:55.116000Z,,2025-07-24T01:04:55.535208Z,711.0,C11IH4PS,98,I was raised with my native language only,New York (NY),New York (NY),32,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
688187d314c4ebace79b4454,6672f795fac6ecd66d7b987f,AWAITING REVIEW,Not Applicable,2025-07-24T01:18:44.518000Z,2025-07-24T01:31:04.160000Z,,2025-07-24T01:31:04.578123Z,740.0,C11IH4PS,80,I was raised with my native language only,New York (NY),New York (NY),26,Male,White,United States,United States,United States,English,No,Full-Time
6881882da8915b73761a2cce,61022a84042923c389bf1499,AWAITING REVIEW,Not Applicable,2025-07-24T01:11:12.652000Z,2025-07-24T01:24:02.834000Z,,2025-07-24T01:24:03.223098Z,771.0,C11IH4PS,1513,I was raised with my native language only,New Jersey (NJ),New Jersey (NJ),22,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
688188738fff0579ab95c8eb,5c3630c83ce2c8000111b504,AWAITING REVIEW,Not Applicable,2025-07-24T01:12:26.515000Z,2025-07-24T01:24:53.921000Z,,2025-07-24T01:24:54.337697Z,748.0,C11IH4PS,3396,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),66,Female,White,United States,United States,United States,English,No,Part-Time
68818d99fff696cda2c2aa9f,678e69996debb07354f037ed,AWAITING REVIEW,Not Applicable,2025-07-24T01:34:20.759000Z,2025-07-24T01:45:55.009000Z,,2025-07-24T01:45:55.421010Z,695.0,C11IH4PS,184,I was raised with my native language only,New York (NY),New York (NY),33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68818e2bc8294464aa87f213,678b1abe0f20e54366473439,AWAITING REVIEW,Not Applicable,2025-07-24T01:36:50.468000Z,2025-07-24T01:50:26.311000Z,,2025-07-24T01:50:26.780660Z,816.0,C11IH4PS,327,I was raised with my native language only,New Jersey (NJ),New Jersey (NJ),46,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68819208f69c572f0ca7216c,66c8abe49537b182dcbd2049,AWAITING REVIEW,Not Applicable,2025-07-24T01:54:34.486000Z,2025-07-24T02:15:20.559000Z,,2025-07-24T02:15:20.950149Z,1247.0,C11IH4PS,1071,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),30,Male,White,United States,United States,United States,English,No,Full-Time
688192e1e6d59a405a753672,63f7870b7fabda95fb6586d0,AWAITING REVIEW,Not Applicable,2025-07-24T01:56:52.760000Z,2025-07-24T02:09:14.972000Z,,2025-07-24T02:09:15.392546Z,743.0,C11IH4PS,1176,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),27,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
