Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Were you raised monolingual?,U.s state/territory of birth,Current u.s state of residence,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6841f0d105cabed6c7515a9c,683866eda116940a685250ef,APPROVED,Not Applicable,2025-06-05T19:32:33.878000Z,2025-06-05T20:06:04.891000Z,2025-06-05T20:06:05.431000Z,2025-06-05T20:06:05.656359Z,2012.0,Manual Completion,128,I was raised with my native language only,New York (NY),Delaware (DE),28,Female,Black,United States,United States,United States,English,No,Part-Time
6841f88c92829194e082f63e,67e5de8bb35bd9043b86878d,RETURNED,Not Applicable,2025-06-05T20:05:32.249000Z,,,2025-06-05T21:16:45.431122Z,,,837,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68420040733e90003a30d1ec,5f79bca83a2eb65c0983816d,APPROVED,Not Applicable,2025-06-05T20:38:47.561000Z,2025-06-05T20:55:07.821000Z,2025-06-05T21:14:46.413000Z,2025-06-05T20:55:08.584292Z,981.0,C11IH4PS,8278,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),36,Male,White,United States,United States,United States,English,No,Full-Time
687d5b49aa739d7cb74e7a37,677d6546138c74881d9f6efc,APPROVED,Not Applicable,2025-07-20T21:11:14.003000Z,2025-07-20T21:35:26.100000Z,2025-07-21T01:45:21.305000Z,2025-07-20T21:35:26.513788Z,1453.0,C11IH4PS,640,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),56,Female,White,United States,United States,United States,English,No,Other
687d5b7abc7f3d69c744272e,662959b221d6790f5548ba36,APPROVED,Not Applicable,2025-07-20T21:11:32.619000Z,2025-07-20T21:27:30.664000Z,2025-07-21T01:45:21.586000Z,2025-07-20T21:27:31.067009Z,959.0,C11IH4PS,2398,I was raised with my native language only,New Jersey (NJ),New Jersey (NJ),53,Female,White,United States,United States,United States,English,No,Full-Time
687d5b82b236e08ff9369696,678e6eb7170e3a5da7c4ab91,APPROVED,Not Applicable,2025-07-20T21:12:29.821000Z,2025-07-20T21:41:17.506000Z,2025-07-21T01:45:21.839000Z,2025-07-20T21:41:17.929586Z,1728.0,C11IH4PS,2334,I was raised with my native language only,New York (NY),New Jersey (NJ),72,Female,White,United States,United States,United States,English,No,Part-Time
687d5c90238b01e698b7607b,663a8c84b8e7c046d854c8dd,APPROVED,Not Applicable,2025-07-20T21:16:03.626000Z,2025-07-20T21:32:01.571000Z,2025-07-21T01:45:22.114000Z,2025-07-20T21:32:01.983293Z,958.0,C11IH4PS,2281,I was raised with my native language only,New York (NY),New York (NY),44,Male,White,United States,United States,United States,English,No,Full-Time
687d5cda819965a7b69732f7,6717f5c74ec821ced7af6e43,APPROVED,Not Applicable,2025-07-20T21:17:19.466000Z,2025-07-20T21:33:52.412000Z,2025-07-21T01:45:22.366000Z,2025-07-20T21:33:52.813269Z,993.0,C11IH4PS,41,I was raised with my native language only,New Jersey (NJ),New Jersey (NJ),34,Female,White,United States,United States,United States,English,No,Full-Time
687d5dcc49f5dbb836ba8865,65ca9c729a13f898ae374552,APPROVED,Not Applicable,2025-07-20T21:21:29.376000Z,2025-07-20T21:35:16.997000Z,2025-07-21T01:45:22.636000Z,2025-07-20T21:35:17.434868Z,828.0,C11IH4PS,2608,I was raised with my native language only,New York (NY),New York (NY),37,Female,Black,United States,United States,United States,English,No,Other
687d5dd8f9b05d1c4c04a15f,66e641a57e7f41866f9e705f,APPROVED,Not Applicable,2025-07-20T21:21:37.212000Z,2025-07-20T21:41:06.193000Z,2025-07-21T01:45:22.892000Z,2025-07-20T21:41:06.622678Z,1169.0,C11IH4PS,1798,I was raised with my native language only,"Washington, DC (District of Columbia) (DC)","Washington, DC (District of Columbia) (DC)",32,Male,White,United States,United States,United States,English,No,Full-Time
687d5e636fe5cdae3b923545,657b0da1a8bd5027b9c32bd5,APPROVED,Not Applicable,2025-07-20T21:24:54.390000Z,2025-07-20T21:51:19.418000Z,2025-07-21T01:45:23.161000Z,2025-07-20T21:51:19.790071Z,1586.0,C11IH4PS,1815,I was raised with my native language only,Rhode Island (RI),Rhode Island (RI),33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
687d5f1d9c3c7c2ef316750b,581d38509b5b8800014d507e,APPROVED,Not Applicable,2025-07-20T21:27:21.290000Z,2025-07-20T21:43:05.671000Z,2025-07-21T01:45:23.478000Z,2025-07-20T21:43:06.067141Z,945.0,C11IH4PS,3867,I was raised with my native language only,New York (NY),New York (NY),42,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
687d5fd51e342e2e7f2776de,662942069e781c3f1a1355c4,APPROVED,Not Applicable,2025-07-20T21:30:34.568000Z,2025-07-20T21:57:37.138000Z,2025-07-21T01:45:23.756000Z,2025-07-20T21:57:37.556243Z,1623.0,C11IH4PS,2668,I was raised with my native language only,New Jersey (NJ),New Jersey (NJ),50,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
687d6013c05606540473ba64,664c4e829445321c23a8de52,APPROVED,Not Applicable,2025-07-20T21:31:14.997000Z,2025-07-20T21:49:51.467000Z,2025-07-21T01:45:24.036000Z,2025-07-20T21:49:51.903373Z,1117.0,C11IH4PS,1986,I was raised with my native language only,New York (NY),New York (NY),46,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
