Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Were you raised monolingual?,U.s state/territory of birth,Current u.s state of residence,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
687edeb1747c4e506881a215,61521b2b369463cd1515d06b,RETURNED,Not Applicable,2025-07-22T00:43:34.460000Z,,,2025-08-10T19:18:08.088244Z,,,609,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687edff7c0f5d1b831497be8,65c7998283fde07a38b830af,APPROVED,Not Applicable,2025-07-22T00:48:55.769000Z,2025-07-22T01:04:18.918000Z,2025-07-23T00:34:20.659000Z,2025-07-22T01:04:19.326123Z,924.0,C11IH4PS,1316,I was raised with my native language only,New York (NY),New York (NY),46,Female,Black,United States,United States,United States,English,No,Full-Time
687ee0373c6c7e646f347b5e,580cab86b869700001d71628,RETURNED,Not Applicable,,,,2025-08-10T19:18:08.088226Z,,,8916,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687ee03fad389e09c781ac92,6132542039ead71f30971bd6,RETURNED,Not Applicable,,,,2025-08-10T19:18:08.092422Z,,,12016,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687ee25f85526ae53664f6ca,67a908afd56a6f9e4bf0d17d,RETURNED,Not Applicable,2025-07-22T00:59:15.922000Z,,,2025-08-10T19:18:08.093287Z,,,1254,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687ee34ec0f5d1b831497c7e,67eab317b6f969b3df440160,APPROVED,Not Applicable,2025-07-22T01:03:10.460000Z,2025-07-22T01:32:06.057000Z,2025-07-23T00:34:20.899000Z,2025-07-22T01:32:07.628104Z,1736.0,C11IH4PS,1347,I was raised with my native language only,Connecticut (CT),Connecticut (CT),37,Female,White,United States,United States,United States,English,No,Full-Time
687eea3c9bec796bf7feaff1,5b147696d282ff00015c2c4e,APPROVED,Not Applicable,2025-07-22T01:32:49.791000Z,2025-07-22T01:45:40.991000Z,2025-07-23T00:34:21.120000Z,2025-07-22T01:45:41.403786Z,772.0,C11IH4PS,13255,I was raised with my native language only,New York (NY),New Jersey (NJ),32,Female,White,United States,United States,United States,English,No,Full-Time
687f0cd8732051da3e2073ab,67569c395fa90a1f45339179,RETURNED,Not Applicable,2025-07-22T04:00:40.348000Z,,,2025-08-10T19:18:08.093529Z,,,531,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687f10675c41476638001c69,6815f715db4b297fb0c6aa19,APPROVED,Not Applicable,2025-07-22T04:15:57.156000Z,2025-07-22T04:27:00.560000Z,2025-07-23T00:34:21.347000Z,2025-07-22T04:27:01.134997Z,664.0,C11IH4PS,1345,I was raised with my native language only,New Jersey (NJ),New York (NY),42,Male,Black,United States,United States,United States,English,Yes,Part-Time
68802e95754069ae6a3e6146,646a74a7aadc8d532a2f34dd,APPROVED,Not Applicable,2025-07-23T00:37:15.277000Z,2025-07-23T00:53:45.590000Z,2025-08-10T19:54:34.409000Z,2025-07-23T00:53:46.015590Z,991.0,C11IH4PS,3421,I was raised with my native language only,Connecticut (CT),New Jersey (NJ),51,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
