Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Were you raised monolingual?,U.s state/territory of birth,Current u.s state of residence,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
689f29380079cc88f9c28eed,60045900ccb68e4bdd23111e,APPROVED,Not Applicable,2025-08-15T12:34:03.979000Z,2025-08-15T12:51:02.469000Z,2025-09-05T00:02:28.466000Z,2025-08-15T12:51:02.848264Z,1019.0,C11IH4PS,1869,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),55,Female,White,United States,United States,United States,English,No,Full-Time
689f2e2097d95ad5bc2324c7,5d4efe300691a6000193557f,APPROVED,Not Applicable,2025-08-15T12:56:26.093000Z,2025-08-15T13:12:04.023000Z,2025-09-05T00:02:28.980000Z,2025-08-15T13:12:04.438558Z,938.0,C11IH4PS,2073,I was raised with my native language only,New Jersey (NJ),New York (NY),52,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
689f2ed8729b381cc335a8fc,6445b89361755459d55f2ee2,APPROVED,Not Applicable,2025-08-15T12:58:08.453000Z,2025-08-15T13:14:13.684000Z,2025-09-05T00:02:29.589000Z,2025-08-15T13:14:14.074354Z,966.0,C11IH4PS,3597,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),47,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
689f2edaf9e6de356dab170d,6595ddee29ac40a58a7feeb6,APPROVED,Not Applicable,2025-08-15T12:58:07.006000Z,2025-08-15T13:10:58.520000Z,2025-09-05T00:02:30.066000Z,2025-08-15T13:10:58.929864Z,772.0,C11IH4PS,299,I was raised with my native language only,New York (NY),New York (NY),26,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
689f35fc37cb2af7d9a54aaf,5e25c1a57d6cd1000cf870b8,APPROVED,Not Applicable,2025-08-15T13:28:49.027000Z,2025-08-15T14:06:14.644000Z,2025-09-05T00:02:30.523000Z,2025-08-15T14:06:15.084797Z,2246.0,C11IH4PS,3329,I was raised with my native language only,New York (NY),New York (NY),38,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
689f3a0bad3443cbedf9ea01,63d73bfc8765da5b8a06f465,APPROVED,Not Applicable,2025-08-15T13:46:24.514000Z,2025-08-15T14:09:46.069000Z,2025-09-05T00:02:31.043000Z,2025-08-15T14:09:46.468387Z,1402.0,C11IH4PS,1813,I was raised with my native language only,New York (NY),New York (NY),43,Male,White,United States,United States,United States,English,No,Other
689f3bd689e93f4eae3dae5f,610acd05a1f63b626b20ee3a,APPROVED,Not Applicable,2025-08-15T13:57:49.886000Z,2025-08-15T14:13:25.403000Z,2025-09-05T00:02:31.443000Z,2025-08-15T14:13:25.826648Z,936.0,C11IH4PS,3350,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),25,Female,White,United States,United States,United States,English,Yes,Part-Time
689f3c73cef680f6845d434c,66ae390bfe78fdc5c34fc9ce,APPROVED,Not Applicable,2025-08-15T13:56:08.808000Z,2025-08-15T14:23:07.475000Z,2025-09-05T00:02:31.976000Z,2025-08-15T14:23:07.937145Z,1619.0,C11IH4PS,558,I was raised with my native language only,New Jersey (NJ),New Jersey (NJ),20,Female,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED
689f3cb9b9b938f5044de141,66697feac4c3bc98619563af,APPROVED,Not Applicable,2025-08-15T14:01:49.441000Z,2025-08-15T14:16:36.895000Z,2025-09-05T00:02:32.573000Z,2025-08-15T14:17:13.228077Z,888.0,C11IH4PS,866,I was raised with my native language only,New York (NY),New York (NY),41,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
689f405740fec32ea728e72b,636ac3f10d9f3b6a0eb54eeb,APPROVED,Not Applicable,2025-08-15T14:13:21.436000Z,2025-08-15T14:43:05.327000Z,2025-09-05T00:02:33.073000Z,2025-08-15T14:43:05.911454Z,1784.0,C11IH4PS,1750,I was raised with my native language only,Connecticut (CT),Connecticut (CT),70,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
