Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Were you raised monolingual?,U.s state/territory of birth,Current u.s state of residence,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69713224476e13713df468a1,6521ab1c4a2ffd6c21a3b662,APPROVED,Not Applicable,2026-01-21T20:11:40.479000Z,2026-01-21T20:41:18.591000Z,2026-01-22T01:59:35.149000Z,2026-01-21T20:41:18.979580Z,1779.0,C11IH4PS,2923,I was raised with my native language only,New Jersey (NJ),New Jersey (NJ),26,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
697134dcfbd6b5407e3cc5a3,5c7c73b6f48c6d0001f6f49c,APPROVED,Not Applicable,2026-01-21T20:19:55.337000Z,2026-01-21T20:38:48.148000Z,2026-01-22T01:59:35.536000Z,2026-01-21T20:38:48.490294Z,1133.0,C11IH4PS,6354,I was raised with my native language only,New York (NY),New York (NY),31,Male,Black,United States,United States,United States,English,Yes,Full-Time
69713b407a4ef58556fa6292,69582dd7ba2234408d11808e,APPROVED,Not Applicable,2026-01-21T20:47:21.313000Z,2026-01-21T21:03:15.670000Z,2026-01-22T01:59:35.802000Z,2026-01-21T21:03:16.014178Z,955.0,C11IH4PS,205,I was raised with my native language only,Maine (ME),Maine (ME),32,Male,White,United States,United States,United States,English,No,Full-Time
69714046a759f96a350729d3,69134a97886665640fa49f30,APPROVED,Not Applicable,2026-01-21T21:08:27.787000Z,2026-01-21T21:20:52.761000Z,2026-01-22T01:59:36.038000Z,2026-01-21T21:20:53.128885Z,745.0,C11IH4PS,232,I was raised with my native language only,New York (NY),New York (NY),30,Female,Mixed,United States,United States,United States,English,No,Full-Time
69714107e6a68a3e93856800,69602491103bb0e29cba7eea,APPROVED,Not Applicable,2026-01-21T21:11:38.935000Z,2026-01-21T21:22:32.066000Z,2026-01-22T01:59:36.305000Z,2026-01-21T21:22:32.438608Z,654.0,C11IH4PS,127,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),19,Female,White,United States,United States,United States,English,Yes,Part-Time
69714714ec150213662dd7a8,5f42ac74bac9f24a6091bd27,APPROVED,Not Applicable,2026-01-21T21:37:26.875000Z,2026-01-21T21:51:14.462000Z,2026-01-22T01:59:36.559000Z,2026-01-21T21:51:14.821585Z,828.0,C11IH4PS,1495,I was raised with my native language only,New York (NY),New York (NY),32,Female,White,United States,United States,United States,English,No,Part-Time
69714e580bd551883f54fa8d,6568b70075a2e3f099a181f2,APPROVED,Not Applicable,2026-01-21T22:08:29.660000Z,2026-01-21T22:20:45.620000Z,2026-01-22T01:59:36.815000Z,2026-01-21T22:20:47.695574Z,736.0,C11IH4PS,3318,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),57,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
69714f7936fb382e28d16d38,67164c92298409e37c670b3d,APPROVED,Not Applicable,2026-01-21T22:13:17.164000Z,2026-01-21T22:24:00.835000Z,2026-01-22T01:59:37.042000Z,2026-01-21T22:24:01.189542Z,644.0,C11IH4PS,3986,I was raised with my native language only,New York (NY),Pennsylvania (PA),28,Male,Asian,United States,United States,United States,English,No,Full-Time
697156dbe6516df0ca6ad468,60ed8f50e13ce18a6d406a09,APPROVED,Not Applicable,2026-01-21T22:44:43.399000Z,2026-01-21T22:57:20.082000Z,2026-01-22T01:59:37.320000Z,2026-01-21T22:57:20.420609Z,757.0,C11IH4PS,7099,I was raised with my native language only,Vermont (VT),Vermont (VT),47,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
697168b7d37416972779a885,5ed1f281a0e7a4000ae547ce,APPROVED,Not Applicable,2026-01-22T00:00:58.916000Z,2026-01-22T00:11:34.345000Z,2026-01-22T01:59:37.541000Z,2026-01-22T00:11:34.700088Z,636.0,C11IH4PS,2172,I was raised with my native language only,New York (NY),New York (NY),24,Male,White,United States,United States,United States,English,No,Part-Time
69716987afe314f825fd8383,63d85df2ce828accc88ba837,APPROVED,Not Applicable,2026-01-22T00:04:27.680000Z,2026-01-22T00:24:15.357000Z,2026-01-22T01:59:37.767000Z,2026-01-22T00:24:15.697335Z,1188.0,C11IH4PS,524,I was raised with my native language only,New York (NY),New York (NY),38,Male,White,United States,United States,United States,English,No,Full-Time
69716bef077f777182cb572c,6941dd757105f5612e78f1d3,APPROVED,Not Applicable,2026-01-22T00:14:45.217000Z,2026-01-22T00:32:58.093000Z,2026-01-22T01:59:38.001000Z,2026-01-22T00:50:19.607500Z,1093.0,C11IH4PS,99,I was raised with my native language only,New York (NY),Vermont (VT),40,Female,Black,United States,United States,United States,English,No,Full-Time
69717195bd1b4c6c598fb905,67435174b76a747138e8a47a,APPROVED,Not Applicable,2026-01-22T00:38:49.405000Z,2026-01-22T00:49:14.386000Z,2026-01-22T01:59:38.231000Z,2026-01-22T00:49:14.884510Z,625.0,C11IH4PS,606,I was raised with my native language only,Pennsylvania (PA),Pennsylvania (PA),23,Female,White,United States,United States,United States,English,No,Part-Time
697184ecb70e30e46047cf6b,695fc9e5ea354ea6bd7c7ba8,APPROVED,Not Applicable,2026-01-22T02:01:23.359000Z,2026-01-22T02:30:12.405000Z,2026-01-22T02:43:40.063000Z,2026-01-22T02:30:12.762416Z,1730.0,C11IH4PS,138,I was raised with my native language only,New Jersey (NJ),New Jersey (NJ),48,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6971854c2a17f814f07f4632,6110b74b42270b61d9b11ea3,APPROVED,Not Applicable,2026-01-22T02:03:02.467000Z,2026-01-22T02:14:41.892000Z,2026-01-22T02:43:40.329000Z,2026-01-22T02:14:42.206659Z,700.0,C11IH4PS,350,I was raised with my native language only,New Jersey (NJ),Pennsylvania (PA),24,Female,White,United States,United States,Germany,English,No,Full-Time
