instructions_2afc.started,instructions_2afc.stopped,instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,instructions_text,continue_text,participant_id,"What variety of Spanish are you most familiar with? (e.g., Peruvian, Spanish, Mexican)",At what age did you begin learning Spanish?,Are you proficient in any languages other than English/Spanish?,"Are you familiar with Caribbean (e.g., Caribbean, Puerto Rican) or Galician Spanish?",date,expName,psychopyVersion,OS,frameRate,id,study_id,session,practice_2afc.started,practice_2afc.stopped,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,key_resp_2afc_practice.duration,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,path,correct_response,check_2afc.started,check_2afc.stopped,trial_2afc.started,trial_2afc.stopped,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,key_resp_2afc_trial.duration,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,item_num,target,variety,instructions_lextale.started,instructions_lextale.stopped,instructions_lextale_loop.thisRepN,instructions_lextale_loop.thisTrialN,instructions_lextale_loop.thisN,instructions_lextale_loop.thisIndex,instructions_lextale_loop.ran,practice_lextale.started,practice_lextale.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,practice_feedback_lextale.started,practice_feedback_lextale.stopped,trials_lextale_practice_loop.thisRepN,trials_lextale_practice_loop.thisTrialN,trials_lextale_practice_loop.thisN,trials_lextale_practice_loop.thisIndex,trials_lextale_practice_loop.ran,stim,word,prac_button_real,prac_button_false,check_lextale.started,check_lextale.stopped,trial_lextale.started,trial_lextale.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,trials_lextale_loop.thisRepN,trials_lextale_loop.thisTrialN,trials_lextale_loop.thisN,trials_lextale_loop.thisIndex,trials_lextale_loop.ran,button_real,button_false,instructions_eq.started,instructions_eq.stopped,trial_eq.started,trial_eq.stopped,slider_eq_trial.response,trials_eq_loop.thisRepN,trials_eq_loop.thisTrialN,trials_eq_loop.thisN,trials_eq_loop.thisIndex,trials_eq_loop.ran,item,is_test_item,is_distractor,is_agree_score,is_disagree_score,end_exp.started,end_exp.stopped
0.094,1.3164,0,0,0,0,1,"In the following task you are going to hear a series of utterances. 

  You will decide if the utterances sound like questions or not using your keyboard.", (press the spacebar to continue),677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3189,3.2617,0,1,1,1,1,"If you believe the utterance is a question, type '1' (for 'yes') and if you do not 
  believe it is a question type '0' (for 'no').

  Let's practice a bit...", (press the spacebar to continue),677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,3.3106,5.8687,1,0,2.0268,,0,0,0,7,1,./stim/wavs/puertorican_statement_filler_La-nina-pinta-con-su-amiga.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,5.8719,8.0278,0,0,1.6307,,0,1,1,2,1,./stim/wavs/chilean_question_filler_Mi-padre-cantaba-bien.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,8.0311,10.3965,1,1,1.8373,,0,2,2,0,1,./stim/wavs/castilian_question_filler_Mi-esposo-conoce-al-chico.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,10.3992,12.7874,0,1,1.8702,,0,3,3,5,1,./stim/wavs/andalusian_statement_filler_Alberto-nunca-se-afeita.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,12.7892,15.2899,1,1,1.9675,,0,4,4,3,1,./stim/wavs/mexican_question_filler_Felipe-no-tiene-contrasena.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,15.2923,17.7098,1,0,1.8982,,0,5,5,4,1,./stim/wavs/cuban_statement_filler_Cocinabas-por-la-noche.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,17.7113,20.6172,0,1,2.3818,,0,6,6,6,1,./stim/wavs/peruvian_statement_filler_El-nino-habla-con-su-madre.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,20.6192,22.7548,1,1,1.62,,0,7,7,1,1,./stim/wavs/argentine_question_filler_Mi-vecino-habla-mucho.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,,,22.7554,27.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,./stim/wavs/puertorican_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,0,,,27.6853,29.9259,1,0,1.7026,,0,0,0,83,1,84,0,puertorican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,./stim/wavs/cuban_mismatch_declarative-broad-focus_La-nina-lava-el-plato.wav,0,,,29.9283,32.2381,0,1,1.785,,0,1,1,75,1,76,0,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,./stim/wavs/puertorican_mismatch_interrogative-total-yn_El-nino-oye-el-rio.wav,1,,,32.2402,34.387,1,1,1.6158,,0,2,2,40,1,41,1,puertorican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,./stim/wavs/castilian_mismatch_interrogative-total-yn_La-nina-lava-el-plato.wav,1,,,34.3888,36.7854,0,0,1.8664,,0,3,3,25,1,26,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,./stim/wavs/castilian_match_interrogative-total-yn_David-leia-el-libro.wav,1,,,36.7869,39.1177,1,1,1.8036,,0,4,4,0,1,1,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,./stim/wavs/cuban_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta.wav,1,,,39.1188,41.4135,0,0,1.7709,,0,5,5,31,1,32,1,cuban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,./stim/wavs/castilian_match_declarative-broad-focus_Marta-abre-el-regalo.wav,0,,,41.4154,43.7935,1,0,1.849,,0,6,6,49,1,50,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,./stim/wavs/mexican_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,1,,,43.7948,46.0741,0,0,1.7525,,0,7,7,13,1,14,0,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,./stim/wavs/puertorican_match_declarative-broad-focus_Ana-lleva-el-abrigo.wav,0,,,46.0754,48.1719,1,0,1.5707,,0,8,8,62,1,63,0,puertorican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,./stim/wavs/castilian_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,1,,,48.1731,50.224,0,0,1.525,,0,9,9,1,1,2,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,./stim/wavs/castilian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,0,,,50.2253,52.1814,0,1,1.433,,0,10,10,69,1,70,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,677743bf62e157794cf97ff4,Spanish ,13 or older,"no, only English or Spanish",no,2025-07-24_09h25.09.736,empathy_intonation_perc_control,2024.2.4,Win32,61.72839506,677743bf62e157794cf97ff4,68817205a84113384fffdfe3,688233b3a649d32ed7d451a6,,,,,,,,,,,,./stim/wavs/castilian_match_interrogative-total-yn_Manuela-vende-el-carro.wav,1,,,52.1841,54.0294,1,1,1.3152,,0,11,11,2,1,3,0,castilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
