participant_id,monolingual,age,sex,group,two_langs
5b147696d282ff00015c2c4e,I was raised with my native language only,32,Female,1,"no, only English or Spanish"
646a74a7aadc8d532a2f34dd,I was raised with my native language only,51,Female,1,click here to respond
677d27908064d9a59051cb91,I was raised with my native language only,33,Female,1,"no, only English or Spanish"
6742237ff27899244266a74f,I was raised with my native language only,21,Female,1,"no, only English or Spanish"
60d8c6bc9686529cdc824a49,I was raised with my native language only,39,Female,1,"no, only English or Spanish"
6761134a283b8ace0b1e0345,I was raised with my native language only,21,Male,1,"no, only English or Spanish"
660ec4452539f6860b02db7a,I was raised with my native language only,41,Male,1,"no, only English or Spanish"
60c8467d9872c0d83f695499,I was raised with my native language only,31,Female,1,"no, only English or Spanish"
677454d2ffb9721d9469456a,I was raised with my native language only,35,Female,1,"no, only English or Spanish"
6661bf4587f6b99850d9328b,I was raised with my native language only,60,Female,1,"no, only English or Spanish"
67dd4210d92f4c3aac8d944c,I was raised with my native language only,33,Male,1,"no, only English or Spanish"
60fcbf0aca44c1b1c5631970,I was raised with my native language only,30,Female,1,"no, only English or Spanish"
6100d12602dbc013bf326e62,I was raised with my native language only,24,Female,1,"no, only English or Spanish"
6784863a028ac25ee3f395ee,I was raised with my native language only,23,Male,1,"no, only English or Spanish"
5e0e49cfbf3d4e5b0925b2a3,I was raised with my native language only,28,Female,1,"no, only English or Spanish"
66e5ec95fd780d155cc8a480,I was raised with my native language only,27,Male,1,"no, only English or Spanish"
5b6482e9f5bc0a00019fd571,I was raised with my native language only,44,Male,1,"no, only English or Spanish"
675c5393b9b2d381baa880c2,I was raised with my native language only,51,Male,1,"no, only English or Spanish"
5cd3d5760b858f0016ccd823,I was raised with my native language only,34,Female,1,click here to respond
5c4a4b329ba9e00001ffc4f3,I was raised with my native language only,44,Male,1,"no, only English or Spanish"
595d516e2da9c90001d7d200,I was raised with my native language only,46,Male,1,"no, only English or Spanish"
5bd77196beca730001ced094,I was raised with my native language only,47,Female,1,"no, only English or Spanish"
