group,participant_id,correct,rt_raw,rt_adj,speaker_variety,sentence_type,sentence,familiar_with_fall,learner,two_langs,eq_score,exp_time,lextale_avg,lextale_tra
1,55885869fdf99b4020ba0b64,0,1.874,0.5640000000000001,cuban,interrogative-total-yn,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.747,0.637,cuban,interrogative-total-yn,El hombre mira la luna,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.741,0.5010000000000001,cuban,declarative-broad-focus,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.974,0.494,castilian,declarative-broad-focus,David leia el libro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.85,0.3900000000000001,castilian,interrogative-total-yn,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.906,0.5759999999999998,cuban,declarative-broad-focus,Marta abre el regalo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.639,0.4890000000000001,mexican,interrogative-total-yn,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.851,0.42100000000000004,mexican,interrogative-total-yn,La maestra vive en Paris,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.79,0.45999999999999996,mexican,interrogative-total-yn,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.951,0.671,mexican,declarative-broad-focus,Emilio ama la marcha,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.946,0.706,puertorican,declarative-broad-focus,Manuela vende el carro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,2.046,0.2859999999999998,castilian,interrogative-total-yn,La maestra vive en Paris,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.91,0.69,mexican,declarative-broad-focus,El hombre mira la luna,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,2.154,1.014,puertorican,declarative-broad-focus,La nina lava el plato,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,2.229,0.6990000000000001,castilian,interrogative-total-yn,Mi novio viene del lago,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,2.051,0.4710000000000001,cuban,declarative-broad-focus,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.731,0.611,mexican,interrogative-total-yn,El hombre mira la luna,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
