group,participant_id,correct,rt_raw,rt_adj,speaker_variety,sentence_type,sentence,familiar_with_fall,learner,two_langs,eq_score,exp_time,lextale_avg,lextale_tra,target,item,lextale_std,eq_std,rt
1,55885869fdf99b4020ba0b64,1,1.747,0.637,cuban,interrogative-total-yn,El hombre mira la luna,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynEl hombre mira la luna,-0.325489252874158,-0.7349288076033568,1.6333
1,55885869fdf99b4020ba0b64,1,1.598,0.558,puertorican,interrogative-total-yn,Ana lleva el abrigo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynAna lleva el abrigo,-0.325489252874158,-0.7349288076033568,1.5543000000000002
1,55885869fdf99b4020ba0b64,1,1.718,0.498,puertorican,interrogative-total-yn,El hombre mira la luna,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynEl hombre mira la luna,-0.325489252874158,-0.7349288076033568,1.4943000000000002
1,55885869fdf99b4020ba0b64,1,1.691,0.5610000000000002,puertorican,interrogative-total-yn,El nino oye el rio,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynEl nino oye el rio,-0.325489252874158,-0.7349288076033568,1.5573000000000004
1,55885869fdf99b4020ba0b64,1,1.89,0.8999999999999999,puertorican,interrogative-total-yn,David leia el libro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynDavid leia el libro,-0.325489252874158,-0.7349288076033568,1.8962999999999999
1,55885869fdf99b4020ba0b64,1,1.642,0.482,puertorican,interrogative-total-yn,Manuela vende el carro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynManuela vende el carro,-0.325489252874158,-0.7349288076033568,1.4783000000000002
1,55885869fdf99b4020ba0b64,1,1.963,0.633,cuban,interrogative-total-yn,Maria bebe el vino,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,cubaninterrogative-total-ynMaria bebe el vino,-0.325489252874158,-0.7349288076033568,1.6293
1,55885869fdf99b4020ba0b64,1,1.625,0.625,puertorican,interrogative-total-yn,Maria bebe el vino,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2,1,puertoricaninterrogative-total-ynMaria bebe el vino,-0.325489252874158,-0.7349288076033568,1.6213
1,55b8d0bffdf99b0f2859fe73,1,2.0052,0.8752,puertorican,interrogative-total-yn,El nino oye el rio,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,puertoricaninterrogative-total-ynEl nino oye el rio,-1.5468372936777524,1.8723574277965778,1.8715
1,55b8d0bffdf99b0f2859fe73,1,1.6376,0.3275999999999999,cuban,interrogative-total-yn,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12,1,cubaninterrogative-total-ynDaniel iba a Bolivia,-1.5468372936777524,1.8723574277965778,1.3238999999999999
